"year","month","region","mean_del","n_all","n_del","p","dt.str","date"
2004,10,"Southeast",0.650917348931805,121172,983,0.00811243521605651,"2004-10-1",2004-10-01
2004,10,"Southwest",10.9134714153453,26504,198,0.00747057047992756,"2004-10-1",2004-10-01
2004,10,"UpperMidwest",0.62509061475884,86526,595,0.00687654577814761,"2004-10-1",2004-10-01
2004,10,"West",1.02802382113951,66134,1106,0.0167236217376841,"2004-10-1",2004-10-01
2004,10,NA,1.09739832287971,4235,84,0.0198347107438017,"2004-10-1",2004-10-01
2004,11,"Alaska",0.814100451000724,26001,246,0.00946117457020884,"2004-11-1",2004-11-01
2004,11,"Central",1.25142039013566,44827,506,0.0112878399179066,"2004-11-1",2004-11-01
2004,11,"Hawaii",0.455798834523537,14617,113,0.00773072449887118,"2004-11-1",2004-11-01
2004,11,"Northeast",0.871449838934131,57264,447,0.0078059513830679,"2004-11-1",2004-11-01
2004,11,"NorthRockies",1.06204015524914,85672,2362,0.0275702679988794,"2004-11-1",2004-11-01
2004,11,"Northwest",1.26381036414758,8681,113,0.0130169335330031,"2004-11-1",2004-11-01
2004,11,"South",0.696880613139677,56053,1164,0.0207660606925588,"2004-11-1",2004-11-01
2004,11,"Southeast",0.764276452796708,115059,1353,0.0117591844184288,"2004-11-1",2004-11-01
2004,11,"Southwest",0.88638406806238,25656,338,0.0131743062051762,"2004-11-1",2004-11-01
2004,11,"UpperMidwest",0.593649486903805,83495,861,0.0103119947302234,"2004-11-1",2004-11-01
2004,11,"West",1.41053095535728,62938,2037,0.0323651847850265,"2004-11-1",2004-11-01
2004,11,NA,1.70950556308102,4347,93,0.0213940648723257,"2004-11-1",2004-11-01
2004,12,"Alaska",2.15429915819559,27122,929,0.0342526362362658,"2004-12-1",2004-12-01
2004,12,"Central",5.90309644304391,46619,823,0.017653746326605,"2004-12-1",2004-12-01
2004,12,"Hawaii",1.03712558714862,15202,230,0.0151295882120774,"2004-12-1",2004-12-01
2004,12,"Northeast",1.00204189590429,60286,768,0.0127392761171748,"2004-12-1",2004-12-01
2004,12,"NorthRockies",1.52885152015324,88419,3175,0.0359085716870808,"2004-12-1",2004-12-01
2004,12,"Northwest",1.39312130285835,9102,135,0.0148319050758075,"2004-12-1",2004-12-01
2004,12,"South",1.72549981906579,58102,1155,0.0198788337750852,"2004-12-1",2004-12-01
2004,12,"Southeast",1.2027335636217,119463,1851,0.0154943371587856,"2004-12-1",2004-12-01
2004,12,"Southwest",1.99910755079065,26845,661,0.0246228347923263,"2004-12-1",2004-12-01
2004,12,"UpperMidwest",0.785089417657714,86491,1508,0.0174353400931889,"2004-12-1",2004-12-01
2004,12,"West",1.70748680015365,64737,1742,0.0269088774580225,"2004-12-1",2004-12-01
2004,12,NA,1.1962919592996,4343,72,0.0165784020262491,"2004-12-1",2004-12-01
2005,1,"Alaska",1.67004746563668,26140,569,0.0217674062739097,"2005-1-1",2005-01-01
2005,1,"Central",1.30844972163825,45473,734,0.0161414465726915,"2005-1-1",2005-01-01
2005,1,"Hawaii",1.3195704567114,14944,272,0.0182012847965739,"2005-1-1",2005-01-01
2005,1,"Northeast",0.970018105647383,59862,712,0.0118940229193812,"2005-1-1",2005-01-01
2005,1,"NorthRockies",5.03254736349046,87364,3402,0.0389405247012499,"2005-1-1",2005-01-01
2005,1,"Northwest",1.0457327296806,8915,129,0.014469994391475,"2005-1-1",2005-01-01
2005,1,"South",1.57804150333397,56432,761,0.0134852565920045,"2005-1-1",2005-01-01
2005,1,"Southeast",1.20411998549207,115926,3030,0.0261373634905026,"2005-1-1",2005-01-01
2005,1,"Southwest",1.50123086267748,25968,651,0.0250693160813309,"2005-1-1",2005-01-01
2005,1,"UpperMidwest",0.96587632322994,85385,1636,0.0191602740528196,"2005-1-1",2005-01-01
2005,1,"West",1.87517209465421,64266,1790,0.027852986026826,"2005-1-1",2005-01-01
2005,1,NA,2.42982998231364,4249,96,0.0225935514238644,"2005-1-1",2005-01-01
2005,2,"Alaska",1.28717831396324,24188,188,0.00777244914833802,"2005-2-1",2005-02-01
2005,2,"Central",0.758266026387853,41611,471,0.0113191223474562,"2005-2-1",2005-02-01
2005,2,"Hawaii",0.418266665055171,13777,209,0.0151702112216012,"2005-2-1",2005-02-01
2005,2,"Northeast",0.570591216456131,56211,358,0.00636886018750778,"2005-2-1",2005-02-01
2005,2,"NorthRockies",0.895331365299647,78060,1257,0.0161029976940815,"2005-2-1",2005-02-01
2005,2,"Northwest",0.776687960705829,7963,64,0.0080371719201306,"2005-2-1",2005-02-01
2005,2,"South",0.767008444542111,50546,897,0.0177462113718197,"2005-2-1",2005-02-01
2005,2,"Southeast",0.832724568815703,106416,1262,0.0118591189294843,"2005-2-1",2005-02-01
2005,2,"Southwest",0.869069742708267,24409,408,0.0167151460526855,"2005-2-1",2005-02-01
2005,2,"UpperMidwest",0.852555625585544,77375,1090,0.0140872374798061,"2005-2-1",2005-02-01
2005,2,"West",0.930134715298288,60903,1450,0.0238083509843522,"2005-2-1",2005-02-01
2005,2,NA,0.577186104644008,3873,43,0.0111025045184611,"2005-2-1",2005-02-01
2005,3,"Alaska",0.754442571466028,27762,317,0.0114184856998775,"2005-3-1",2005-03-01
2005,3,"Central",0.833048929957098,47377,819,0.0172868691559195,"2005-3-1",2005-03-01
2005,3,"Hawaii",0.736849011148461,15456,188,0.0121635610766046,"2005-3-1",2005-03-01
2005,3,"Northeast",0.564034632232039,63616,422,0.00663355130784708,"2005-3-1",2005-03-01
2005,3,"NorthRockies",0.601296595405019,88332,1362,0.0154191006656704,"2005-3-1",2005-03-01
2005,3,"Northwest",0.980521779211209,8865,88,0.00992667794698252,"2005-3-1",2005-03-01
2005,3,"South",0.704629694350768,57554,631,0.0109636167772874,"2005-3-1",2005-03-01
2005,3,"Southeast",0.73078071889883,120229,1532,0.0127423500153873,"2005-3-1",2005-03-01
2005,3,"Southwest",0.919407579758394,27850,555,0.0199281867145422,"2005-3-1",2005-03-01
2005,3,"UpperMidwest",0.631273757860684,87655,1272,0.0145114368832354,"2005-3-1",2005-03-01
2005,3,"West",0.840927376066052,68275,1900,0.0278286341999268,"2005-3-1",2005-03-01
2005,3,NA,0.357901061813229,4569,47,0.0102867148172467,"2005-3-1",2005-03-01
2005,4,"Alaska",0.516437179002998,26398,273,0.0103416925524661,"2005-4-1",2005-04-01
2005,4,"Central",0.481788203366753,45384,410,0.00903402080028204,"2005-4-1",2005-04-01
2005,4,"Hawaii",0.615586072176198,15167,110,0.00725258785521197,"2005-4-1",2005-04-01
2005,4,"Northeast",0.420030205618059,61107,286,0.00468031485754496,"2005-4-1",2005-04-01
2005,4,"NorthRockies",0.910367214908562,85105,1497,0.0175900358380824,"2005-4-1",2005-04-01
2005,4,"Northwest",0.615892696093206,8613,41,0.00476024613955648,"2005-4-1",2005-04-01
2005,4,"South",0.588073547348259,55019,557,0.0101237754230357,"2005-4-1",2005-04-01
2005,4,"Southeast",0.376901537487106,115730,507,0.00438088654627149,"2005-4-1",2005-04-01
2005,4,"Southwest",0.457026992665969,26292,224,0.00851970181043664,"2005-4-1",2005-04-01
2005,4,"UpperMidwest",0.606743299378548,85077,483,0.0056772100567721,"2005-4-1",2005-04-01
2005,4,"West",0.684505186869808,66194,1174,0.0177357464422757,"2005-4-1",2005-04-01
2005,4,NA,0.313105416436471,4406,28,0.00635497049477985,"2005-4-1",2005-04-01
2005,5,"Alaska",0.458549944275955,26894,237,0.00881237450732505,"2005-5-1",2005-05-01
2005,5,"Central",0.50791391940899,46561,643,0.0138098408539335,"2005-5-1",2005-05-01
2005,5,"Hawaii",0.347944163178567,15812,74,0.00467998988110296,"2005-5-1",2005-05-01
2005,5,"Northeast",0.444762697017045,62876,300,0.00477129588396208,"2005-5-1",2005-05-01
2005,5,"NorthRockies",0.398290267673142,91280,1684,0.0184487291849255,"2005-5-1",2005-05-01
2005,5,"Northwest",0.580885718911769,9313,40,0.00429507140556212,"2005-5-1",2005-05-01
2005,5,"South",0.527293321378961,56132,637,0.0113482505522697,"2005-5-1",2005-05-01
2005,5,"Southeast",0.392032773552973,118385,785,0.00663090763187904,"2005-5-1",2005-05-01
2005,5,"Southwest",0.408405596738185,26407,221,0.00836899307001931,"2005-5-1",2005-05-01
2005,5,"UpperMidwest",0.475559511318908,88194,553,0.00627026781867247,"2005-5-1",2005-05-01
2005,5,"West",0.472866748938939,68701,922,0.013420474228905,"2005-5-1",2005-05-01
2005,5,NA,0.540677400436691,4247,33,0.0077701907228632,"2005-5-1",2005-05-01
2005,6,"Alaska",0.593076686418782,26866,405,0.0150748157522519,"2005-6-1",2005-06-01
2005,6,"Central",0.769436810454689,46826,1188,0.0253705206509204,"2005-6-1",2005-06-01
