"year","month","origin","weatherdelay"
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"SAV",NA
2003,1,"ATL",NA
2003,1,"RDU",NA
2003,1,"ATL",NA
2003,1,"MOB",NA
2003,1,"BHM",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"MCO",NA
2003,1,"TPA",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"MCO",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"PHF",NA
2003,1,"ATL",NA
2003,1,"JAX",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"TPA",NA
2003,1,"DCA",NA
2003,1,"RSW",NA
2003,1,"RIC",NA
2003,1,"HSV",NA
2003,1,"MIA",NA
2003,1,"MIA",NA
2003,1,"RDU",NA
2003,1,"DCA",NA
2003,1,"RDU",NA
2003,1,"MIA",NA
2003,1,"MIA",NA
2003,1,"TPA",NA
2003,1,"MIA",NA
2003,1,"MIA",NA
2003,1,"MCO",NA
2003,1,"MIA",NA
2003,1,"MIA",NA
2003,1,"MIA",NA
2003,1,"TPA",NA
2003,1,"RIC",NA
2003,1,"MIA",NA
2003,1,"ORF",NA
2003,1,"DCA",NA
2003,1,"FLL",NA
2003,1,"TPA",NA
2003,1,"DCA",NA
2003,1,"ATL",NA
2003,1,"DCA",NA
2003,1,"MCO",NA
2003,1,"FLL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"FLL",NA
2003,1,"FLL",NA
2003,1,"FLL",NA
2003,1,"FLL",NA
2003,1,"MCO",NA
2003,1,"TPA",NA
2003,1,"IAD",NA
2003,1,"RDU",NA
2003,1,"GSP",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"JAX",NA
2003,1,"JAX",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"ORF",NA
2003,1,"RDU",NA
2003,1,"JAX",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"ROA",NA
2003,1,"CHS",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"TPA",NA
2003,1,"ATL",NA
2003,1,"DEN",NA
2003,1,"ABQ",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"ABQ",NA
2003,1,"PHX",NA
2003,1,"SLC",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"ABQ",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"ABQ",NA
2003,1,"ABQ",NA
2003,1,"SLC",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"SLC",NA
2003,1,"TUS",NA
2003,1,"PHX",NA
2003,1,"ABQ",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"YUM",NA
2003,1,"SLC",NA
2003,1,"DEN",NA
2003,1,"SLC",NA
2003,1,"SGU",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"TUS",NA
2003,1,"SLC",NA
2003,1,"SGU",NA
2003,1,"DRO",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"DEN",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"TUS",NA
2003,1,"SLC",NA
2003,1,"DEN",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"DEN",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"SLC",NA
2003,1,"PHX",NA
2003,1,"SLC",NA
2003,1,"PHX",NA
2003,1,"PHX",NA
