"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Central",2009,6,2085,37,0.0177458033573141,80962,0.00285460156621554,0.0233408224270966,0.0121507842875317
"Central",2009,7,2028,18,0.00887573964497041,83524,0.00205779430268014,0.0129090164782235,0.00484246281171734
"Central",2009,8,2026,27,0.0133267522211254,81677,0.00251641376298937,0.0182589231965845,0.0083945812456662
"Central",2009,9,1857,13,0.00700053850296177,74401,0.00191100845112066,0.0107461150671583,0.00325496193876528
"Central",2009,10,1945,14,0.00719794344473008,77629,0.001893117026209,0.0109084528160997,0.00348743407336044
"Central",2009,11,1847,7,0.00378992961559285,73870,0.00141213670581618,0.00655771755899256,0.00102214167219314
"Central",2009,12,1899,65,0.0342285413375461,75648,0.00412062049115981,0.0423049575002193,0.0261521251748729
"Central",2010,1,1926,30,0.0155763239875389,73986,0.00278535464142993,0.0210356190847416,0.0101170288903363
"Central",2010,2,1690,51,0.0301775147928994,68839,0.00411126559353629,0.0382355953562305,0.0221194342295683
"Central",2010,3,1996,19,0.00951903807615231,78898,0.002146268088417,0.0137257235294496,0.00531235262285498
"Central",2010,4,1872,21,0.0112179487179487,76141,0.00240472057138527,0.0159312010378638,0.00650469639803359
"Central",2010,5,1889,33,0.0174695606140815,78790,0.00297881441211023,0.0233080368618176,0.0116310843663455
"Central",2010,6,2130,34,0.015962441314554,80178,0.00267991453037672,0.0212150737940924,0.0107098088350156
"Central",2010,7,2017,22,0.0109072880515617,83126,0.00228506053838766,0.0153860067068015,0.00642856939632192
"Central",2010,8,2108,16,0.00759013282732448,83394,0.00186671677780886,0.0112488977118298,0.00393136794281911
"Central",2010,9,1941,14,0.00721277691911386,77826,0.00189711688395325,0.0109311260116622,0.0034944278265655
"Central",2010,10,2040,9,0.00441176470588235,80617,0.00144901153141564,0.00725182730745701,0.0015717021043077
"Central",2010,11,1880,12,0.00638297872340425,75319,0.00181413216808459,0.00993867777285005,0.00282727967395846
