"year","month","origin","avg_del","n_flights","n_wdelay"
2003,4,"ROC",NA,1421,0
2003,11,"OMA",0.562540505508749,1543,1543
2003,12,"DSM",0.0940298507462687,670,670
2003,5,"LFT",NA,352,0
2003,9,"BOS",0.0628739372310276,9527,9527
2003,6,"AEX",2.0359477124183,306,306
2003,2,"COD",NA,56,0
2003,8,"SJU",0.19109131403118,2245,2245
2003,10,"DHN",0,156,156
2003,12,"FWA",0.0857142857142857,525,525
2003,1,"LCH",NA,104,0
2003,12,"TVC",0.134146341463415,164,164
2003,6,"FCA",0,149,149
2003,9,"LBB",0.348557692307692,832,832
2003,4,"ADQ",NA,60,0
2003,9,"BPT",0,129,129
2003,11,"LAN",0.261845386533666,401,401
2003,11,"MQT",0,25,25
2003,12,"RDU",0.108816705336427,4310,4310
2003,12,"EGE",0.70059880239521,167,167
2003,7,"SJT",0.573099415204678,171,171
2003,1,"MEM",NA,4859,0
2003,2,"DSM",NA,815,0
2003,7,"KTN",0.627240143369176,279,279
2003,12,"COD",2.5,62,62
2003,1,"MSY",NA,4314,0
2003,3,"BMI",NA,186,0
2003,5,"JNU",NA,355,0
2003,6,"PSG",0,60,60
2003,8,"SWF",0,125,125
2003,7,"IND",1.13216342199068,3647,3647
2003,2,"FWA",NA,501,0
2003,2,"TVC",NA,80,0
2003,2,"CEC",NA,132,0
2003,12,"TRI",0.587813620071685,279,279
2003,3,"GTR",NA,248,0
2003,4,"GFK",NA,86,0
2003,2,"DAY",NA,944,0
2003,10,"AMA",0.0117474302496329,681,681
2003,7,"RNO",0.315481171548117,2390,2390
2003,5,"AVP",NA,66,0
2003,7,"SLC",0.354193312625617,10946,10946
2003,12,"MRY",0.277955271565495,626,626
2003,3,"JFK",NA,6855,0
2003,6,"CMH",0.180640763462849,2934,2934
2003,5,"BRW",NA,62,0
2003,6,"VLD",1.19834710743802,121,121
2003,12,"CHS",0.101591187270502,817,817
2003,8,"JAX",0.433632286995516,2230,2230
2003,12,"BOI",0.761310452418097,1282,1282
2003,12,"CRW",0.415254237288136,354,354
2003,9,"ABE",0.203342618384401,359,359
2003,2,"EWR",NA,11235,0
2003,3,"BWI",NA,8324,0
2003,12,"RSW",0.0666666666666667,1845,1845
2003,10,"GRR",0.145852324521422,1097,1097
2003,10,"BGM",4.96774193548387,93,93
2003,1,"FAR",NA,365,0
2003,1,"YUM",NA,151,0
2003,9,"MSP",0.423213512343006,11545,11545
2003,3,"SRQ",NA,506,0
2003,7,"JAX",0.67209407507915,2211,2211
2003,1,"CPR",NA,124,0
2003,2,"MSN",NA,558,0
2003,11,"BRW",0.775862068965517,58,58
2003,2,"CIC",NA,84,0
2003,6,"MCI",0.306854838709677,4960,4960
2003,4,"SEA",NA,8064,0
2003,2,"RDD",NA,192,0
2003,11,"AVP",1.6,60,60
2003,10,"OXR",2.8030303030303,132,132
2003,1,"BET",NA,106,0
2003,12,"BTR",0.227769110764431,641,641
2003,8,"RNO",0.210592160133445,2398,2398
2003,9,"EVV",0.367521367521368,351,351
2003,2,"LGA",NA,8143,0
2003,2,"CLL",NA,231,0
2003,10,"IPL",1.45161290322581,62,62
2003,10,"SAN",0.458968672026615,7214,7214
2003,3,"ACY",NA,14,0
2003,3,"DEN",NA,11880,0
2003,10,"SJC",0.266425992779783,5540,5540
2003,2,"MOT",NA,84,0
2003,10,"EFD",1.15555555555556,135,135
2003,12,"PNS",0.52112676056338,568,568
2003,8,"SLC",0.652569349704411,10995,10995
2003,9,"EUG",0,347,347
2003,6,"MOD",0,119,119
2003,7,"SWF",0,123,123
2003,12,"FLL",0.168149796069707,5394,5394
2003,10,"SUN",0,217,217
2003,12,"FLO",0,88,88
2003,1,"CLD",NA,181,0
2003,5,"LAN",NA,402,0
2003,5,"MQT",NA,26,0
2003,3,"TUL",NA,1950,0
2003,3,"DLG",NA,13,0
2003,1,"ROA",NA,479,0
2003,1,"MSO",NA,311,0
2003,8,"IND",0.348154362416107,3576,3576
2003,4,"LRD",NA,193,0
2003,6,"MDT",0.159722222222222,720,720
2003,10,"SCC",0,31,31
2003,10,"AUS",0.106920022688599,3526,3526
2003,8,"SJT",1.44117647058824,170,170
2003,12,"MTJ",1.67755102040816,245,245
2003,2,"MKE",NA,1642,0
2003,10,"ORF",0.138390568939006,1951,1951
2003,2,"MCO",NA,7211,0
2003,12,"BIS",0,182,182
2003,8,"KTN",0.304659498207885,279,279
2003,10,"ILM",0.339285714285714,336,336
2003,10,"TOL",0.056379821958457,337,337
2003,11,"JNU",0.751700680272109,294,294
2003,2,"CSG",NA,168,0
2003,9,"ABQ",0.285019455252918,3084,3084
2003,11,"LFT",2.85906040268456,298,298
2003,10,"SHV",0.274678111587983,699,699
2003,2,"FLO",NA,84,0
